provider,record_level,provider_id,offer_id,channel_type,country_or_region,official,api_base,openai_compatible,anthropic_compatible,free_type,free_quota,free_quota_unit,quota_reset,expires,requires_card,requires_identity_verification,requires_phone_region,model_id,model_name,model_family,context_window,modalities,tool_calling,structured_output,reasoning,web_search,coding_score_tier,reasoning_score_tier,long_context_score_tier,multimodal_score_tier,speed_tier,privacy_notes,data_training_policy,terms_risk,source_type,source_name,source_url,evidence_summary,last_checked,confidence,is_recommended,recommendation_reason,fetch_status,error_summary
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,google/gemma-4-31b-it:free,Google: Gemma 4 31B (free),google,262144,image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API,model_pricing,unknown,unknown,unknown,unknown,,google/lyria-3-clip-preview,Google: Lyria 3 Clip Preview,google,1048576,audio|image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API,model_pricing,unknown,unknown,unknown,unknown,,google/lyria-3-pro-preview,Google: Lyria 3 Pro Preview,google,1048576,audio|image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,meta-llama/llama-3.2-3b-instruct:free,Meta: Llama 3.2 3B Instruct (free),meta-llama,131072,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,meta-llama/llama-3.3-70b-instruct:free,Meta: Llama 3.3 70B Instruct (free),meta-llama,131072,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nousresearch/hermes-3-llama-3.1-405b:free,Nous: Hermes 3 405B Instruct (free),nousresearch,131072,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-3-nano-30b-a3b:free,NVIDIA: Nemotron 3 Nano 30B A3B (free),nvidia,256000,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,NVIDIA: Nemotron 3 Nano Omni (free),nvidia,256000,audio|image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-3-super-120b-a12b:free,NVIDIA: Nemotron 3 Super (free),nvidia,1000000,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-3-ultra-550b-a55b:free,NVIDIA: Nemotron 3 Ultra (free),nvidia,1000000,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-3.5-content-safety:free,NVIDIA: Nemotron 3.5 Content Safety (free),nvidia,128000,image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-nano-12b-v2-vl:free,NVIDIA: Nemotron Nano 12B 2 VL (free),nvidia,128000,image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,nvidia/nemotron-nano-9b-v2:free,NVIDIA: Nemotron Nano 9B V2 (free),nvidia,128000,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,openai/gpt-oss-20b:free,OpenAI: gpt-oss-20b (free),openai,131072,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API,model_pricing,unknown,unknown,unknown,unknown,,openrouter/free,Free Models Router,openrouter,200000,image|text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,poolside/laguna-m.1:free,Poolside: Laguna M.1 (free),poolside,262144,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,poolside/laguna-xs-2.1:free,Poolside: Laguna XS 2.1 (free),poolside,262144,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,qwen/qwen3-coder:free,Qwen: Qwen3 Coder 480B A35B (free),qwen,1048576,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,qwen/qwen3-next-80b-a3b-instruct:free,Qwen: Qwen3 Next 80B A3B Instruct (free),qwen,262144,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
OpenRouter,model,openrouter,,third_party_router,Global,False,https://openrouter.ai/api/v1,yes,unknown,free_model,Prompt and completion pricing reported as 0 by OpenRouter models API; model id is marked with :free,model_pricing,unknown,unknown,unknown,unknown,,tencent/hy3:free,Tencent: Hy3 (free),tencent,262144,text,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Third-party routing; do not send sensitive data without reviewing OpenRouter and upstream provider terms.,unknown,Free routing and rate limits may change without notice; verify before production use.,official_api,OpenRouter models API,https://openrouter.ai/api/v1/models,"OpenRouter official models API returned this model with zero prompt/completion pricing (prompt=0, completion=0).",2026-07-16,high,True,OpenRouter official models API reports zero prompt/completion price; verify rate limits and upstream terms before production use.,ok,
Replicate,provider,replicate,,third_party_inference_provider,Global,False,https://api.replicate.com/v1,partial,no,not_free_or_unverified,,,,,unknown,unknown,,,,,,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Candidate source only; review provider terms and privacy policy before sending sensitive data.,unknown,"Free quota, trial credit, pricing, and rate limits are unverified by automated parsing.",manual,Replicate docs,https://replicate.com/docs,Candidate source from the monitored provider list. No automated parser has verified an official free API quota for this provider-level record.,2026-07-16,low,False,P1 candidate source; model pricing varies and must be checked per model,manual,
